"","id","ave_price","price_range"
"1",3353,35.2048192771084,4
"2",5506,147.267441860465,130
"3",6695,197.407407407407,130
"4",6976,65,0
"5",8792,154,0
"6",9765,236.85635359116,298
"7",9824,222.321981424149,281
"8",9857,363.394812680115,401
"9",9860,269.759206798867,293
"10",9870,288.776243093923,338
"11",10730,150,0
"12",10758,116.395348837209,20
"13",10807,80.8024691358025,65
"14",10809,110.116279069767,65
"15",10810,251.744186046512,25
"16",12356,200,0
"17",12441,418.354098360656,482
"18",13059,400.837837837838,313
"19",13589,451.097402597403,504
"20",13592,377.994350282486,436
"21",18711,169.890207715134,297
"22",20000,75,0
"23",22208,233.988795518207,276
"24",22212,331.201149425287,533
"25",22354,135,0
"26",23619,178.015873015873,100
"27",24240,250,0
"28",27141,288.194986072423,338
"29",27611,185,0
"30",28150,270.51404494382,293
"31",29155,470.832797427653,504
"32",29765,280.252788104089,110
"33",31796,60.0283018867925,4
"34",36885,155,0
"35",39116,100.270916334661,46
"36",40601,95,0
"37",44205,240.704545454545,91
"38",47521,55,0
"39",47722,458.358333333333,470
"40",47725,282.511173184358,360
"41",48612,375,0
"42",50032,725,0
"43",54944,208.141104294479,333
"44",57156,95,0
"45",57800,70,0
"46",60029,75,0
"47",60356,175,0
"48",66288,75.3060498220641,15
"49",67774,110,0
"50",69369,85,0
"51",70481,175,0
"52",72811,62,0
"53",76073,401.724137931034,25
"54",77681,160,0
"55",77691,65,0
"56",82637,175,0
"57",91588,81.159217877095,85
"58",93505,199,0
"59",95453,173.32,26
"60",115936,525,0
"61",118905,320,0
"62",160572,450,0
"63",163941,230.448916408669,20
"64",164418,76.4375,5
"65",169430,241.666666666667,150
"66",169938,140,0
"67",176006,51.5700636942675,35
"68",177129,70.1724137931034,51
"69",179244,70,0
"70",179245,70,0
"71",182613,231.894736842105,130
"72",189965,125,0
"73",195515,199,0
"74",196806,77.841225626741,69
"75",197146,386.934285714286,401
"76",197727,84.0032679738562,5
"77",197972,147.900621118012,13
"78",200265,79.7321428571429,41
"79",205894,65,0
"80",210097,100,0
"81",213086,69.4594594594595,10
"82",217498,101.940199335548,22
"83",220676,128.574297188755,151
"84",225224,98,0
"85",225834,70,0
"86",225979,60,0
"87",232990,79.8453608247423,41
"88",250345,299.488817891374,390
"89",250983,350,0
"90",257588,234.769230769231,200
"91",276450,264.170731707317,1036
"92",295285,80,0
"93",311240,198.03125,75
"94",315982,165,0
"95",321328,100,0
"96",322593,224.369863013699,114
"97",332225,217.9375,205
"98",336946,130.25078369906,60
"99",336960,67.9478527607362,25
"100",349347,248.186246418338,988
"101",369880,140.887096774194,110
"102",369940,199,0
"103",377474,395,0
"104",395975,85.1141975308642,33
"105",400067,56,0
"106",414419,207.076923076923,175
"107",442735,251.854599406528,150
"108",447826,95.0406779661017,7092
"109",453660,171.493150684931,377
"110",466361,80,0
"111",472070,438.46925566343,1392
"112",475254,500,0
"113",475259,506.896551724138,100
